,Total_Sales,Total_sales_in 1000s,Sales per sqm,Sales_per_sqm_in_1000s,margin,no_of_owners,no_full_time_emp,no_of_parttime_emp,no_of_helpers,total_hours_wored,hours_per_emp,investment_in_stores,investment_in_automation,store_size,business_start_year
1,750000,750,4411.765,4.41,41,1,1,1,1.5357,76,16.75596,17166.67,27177.04,170,41
2,1926395,1926.4,4280.878,4.28,39,2,2,3,1.5357,192,22.49376,17166.67,27177.04,450,39
3,1250000,1250,4166.667,4.17,40,1,2,2.2222,1.4091,114,17.1912,292857.2,71570.55,300,40
4,694227,694.23,2670.104,2.67,40,1,1,1.2833,1.3673,100,21.5026,22207.04,15000,260,40
5,750000,750,15000,15,44,2,1.9556,1.2833,1.3673,104,15.74279,22207.04,10000,50,44
6,400000,400,4444.444,4.44,41,2,1.9556,1.2833,1.3673,72,10.89885,22207.04,22859.85,90,41
7,1300000,1300,3250,3.25,39,1.2228,1,3,4,161,17.45674,22207.04,22859.85,400,39
8,495340,495.34,4953.4,4.95,28,2,1.9556,1.2833,1.3673,80,12.10984,22207.04,22859.85,100,28
9,1200000,1200,2666.667,2.67,41,1,3,2.2222,1.4091,158,20.7042,292857.2,5000,450,41
10,495340,495.34,6604.533,6.6,37,1,1.9556,1.2833,1,87,16.60654,22207.04,22859.85,75,37
11,911315,911.32,7594.292,7.59,32,1,1,1,1.5357,156,34.39381,17166.67,27177.04,120,32
12,231000,231,5775,5.78,30,1,1.9556,1,1.3673,40,7.5147,22207.04,5000,40,30
13,492033,492.03,5467.033,5.47,39,1,2.2656,1,1.3333,96,17.14622,62269.23,16624.89,90,39
14,1500000,1500,13636.36,13.64,37,1,5,1,1,305,38.125,62269.23,10000,110,37
15,330000,330,8250,8.25,34,1,2.2656,2.0741,1.3333,92,13.7869,62269.23,16624.89,40,34
16,870000,870,4350,4.35,44,1,1,1.2833,1.3673,80,17.20208,22207.04,12700,200,44
17,694227,694.23,7713.633,7.71,33,1,1.9556,1,1.3673,124,23.29557,22207.04,22859.85,90,33
18,245228,245.23,3503.257,3.5,49,1,1.9556,1.2833,1.3673,69,12.3078,22207.04,3500,70,49
19,375000,375,3947.368,3.95,41,2,1.9556,1.2833,1.3673,60,9.082377,22207.04,50000,95,41
20,330000,330,4714.286,4.71,41,1,1.9556,1.2833,1.3673,65,11.59431,22207.04,22859.85,70,41
21,301133,301.13,2409.064,2.41,40,2,1.9556,1.2833,1.3673,86,13.01807,22207.04,2000,125,40
22,976817,976.82,5745.982,5.75,44,1,2,1.5946,1.5357,116,18.9224,5000,15000,170,44
23,1500000,1500,6000,6,45,1,5,3,1.4091,270,25.93884,292857.2,71570.55,250,45
