"","Year","Number.thousands","quintile1","quintile2","median","quintile3","quintile4","p95","P90","P95","P99","P99.5","P99.9","P99.99","realGDP.M","GDP.Deflator","PopulationK","realGDPperCap","P95IRSvsCensus","personsPerFamily","realGDPperHouse","mean.median","personsPerFamily","realGDPperFamily"
"35",1947,37237,13952,22513,26216.3951946106,30529,43318,71098,40223.447027027,52534.6216216216,130351.210810811,196863.411351351,464539.816756757,1536603.47621622,2013031.74,13.74,144126,13967.17155,0.738904352043962,3.87050514273438,54060.0093137283,2.06206875172685,3.87050514273438,54060.0093137283
"36",1948,38624,13497,22191,25641.7070219594,29629,41332,67308,42145.1216216216,57129.4864864865,132678.254594595,204612.395675676,488890.558378378,1636118.03837838,2101550.28,14.51,146631,14332.23969,0.84877706196123,3.79637013256007,54410.4866918079,2.121952592517,3.79637013256007,54410.4866918079
"37",1949,39303,12741,21767,25281.7362536674,29364,41494,66605,42595.4183783784,57187.6881081081,126105.555675676,191157.61027027,453680.619459459,1492598.96594595,2090782.98,14.49,149188,14014.422996,0.858609535441905,3.79584255654785,53196.5432136796,2.1041491248831,3.79584255654785,53196.5432136796
"38",1950,39929,13546,23292,26870.5918803438,30999,43086,70260,46999.3410810811,59236.9978378378,143511.924864865,223796.467027027,548409.374594595,1534259.07405405,2273600.4,14.64,151684,14989.056324,0.843111270108708,3.79884294622956,56941.0708870649,2.11908510019528,3.79884294622956,56941.0708870649
"39",1951,40578,14761,24066,27679.6888710838,31836,43468,68123,47184.1567567568,60093.6848648649,144228.723783784,215556.342702703,514372.657837838,1726442.87081081,2449390.74,15.7,154287,15875.545134,0.882135033173302,3.80223273695106,60362.5174254389,2.18075129769605,3.80223273695106,60362.5174254389
"40",1952,40832,15238,24650,28671.4640365643,33349,45106,70179,50357.6767567568,63343.7859459459,140091.303243243,212101.004324324,482249.447027027,1512158.79513514,2543236.26,15.97,156954,16203.70977,0.902603142620242,3.84389694357367,62285.3904594578,2.17238263034026,3.84389694357367,62285.3904594578
"41",1953,41202,15770,26763,31002.2518375682,35913,48365,75217,51675.8924324324,64845.7962162162,138281.947567568,205454.787567568,451110.558378378,1358475.88162162,2660316.48,16.16,159565,16672.302666,0.862116226600585,3.87274889568468,64567.6417382722,2.08267586743586,3.87274889568468,64567.6417382722
"42",1954,41951,14703,25861,30089.7592213697,35010,47967,76013,51824.9702702703,66473.3994594595,145908.402162162,215968.859459459,503791.194594595,1602877.76486486,2643542.16,16.31,162391,16278.876858,0.87450040729164,3.87096851088174,63015.0197098395,2.0942347609444,3.87096851088174,63015.0197098395
"43",1955,42889,16302,27745,32170.5453792751,37302,50521,77841,56733.307027027,73211.5135135135,157764.174594595,235481.718918919,555058.654594595,1835043.01243243,2833840.02,16.59,165275,17146.211208,0.940526374449371,3.85355219286997,66073.8198,2.05386072946609,3.85355219286997,66073.8198
"44",1956,43497,17621,29655,34155.932134843,39340,53339,82669,58438.5124324324,75156.672972973,158443.193513514,239295.456756757,567373.913513514,1771062.07189189,2889829.98,17.16,168221,17178.77379,0.909127641231574,3.86741614364209,66437.4670834216,1.94512235301135,3.86741614364209,66437.4670834216
"45",1957,43696,17411,29629,34056.6709177512,39146,52519,80434,59179.8172972973,76024.5918918919,155862.921621622,230483.527027027,532720.463783784,1614711.07351351,2948086.74,17.73,171274,17212.696452,0.945179798243179,3.91967228121567,67468.1291678837,1.98105473464577,3.91967228121567,67468.1291678837
"46",1958,44232,17230,29223,33739.9164936726,38955,53120,81724,59085.8778378378,76975.2183783784,153334.724864865,226308.326486486,521163.868108108,1624719.71027027,2921451.84,18.12,174141,16776.36012,0.941892447486398,3.93699131850244,66048.3841485106,1.95757402543948,3.93699131850244,66048.3841485106
"47",1959,45111,18082,30835,35588.5884097698,41075,56604,86459,62169.5427027027,84676.2118918919,167660.492432432,263332.726486486,595554.73027027,1854514.00756757,3131017.5,18.34,177130,17676.381726,0.979379959193281,3.92653676486888,69406.9627169954,1.950258940249,3.92653676486888,69406.9627169954
"48",1960,45539,18502,31900,36731.1666027639,42294,58484,89959,63674.6162162162,76965.0075675676,164007.064324324,238529.645945946,546065.993513513,1834612.11621622,3208542.06,18.6,180760,17750.29074,0.855556504269362,3.96934495706976,70457.0270353411,1.91818103131087,3.96934495706976,70457.0270353411
"49",1961,46418,18423,31714,36998.2618780937,43163,59447,96063,64902.9767567568,84599.6308108108,170204.005405405,248598.526486486,600235.365945946,2173999.04594595,3283346.46,18.81,183742,17869.331742,0.880668215762685,3.95842130208109,70734.3434214866,1.91182882197414,3.95842130208109,70734.3434214866
"50",1962,47059,19544,32574,37987.6397529512,44301,61891,97070,67884.5335135135,86019.9545945946,171077.02972973,250085.220540541,571459.258918919,1862818.46,3482258.16,19.06,186590,18662.62107,0.886164155708196,3.96502263116513,73997.7148994092,1.94794189322227,3.96502263116513,73997.7148994092
"51",1963,47540,19895,33416,39139.7892687224,45844,64061,97316,70376.9924324324,89909.2524324324,177239.254054054,256522.115675676,581607.783783784,1857942.79783784,3634473.78,19.27,189300,19199.546652,0.923889724530729,3.98190997055111,76450.8662436601,1.95327741084068,3.98190997055111,76450.8662436601
"52",1964,47956,20604,34869,40717.9470504101,47548,64672,100092,74329.5972972973,92753.9843243243,200237.063243243,280093.772432432,599772.816216216,2185680.21351351,3844832.82,19.56,191927,20032.78833,0.926687290935582,4.00214780215197,80174.1797858852,1.96901331215513,4.00214780215197,80174.1797858852
"53",1965,48509,21853,36608,42520.9655581808,49389,67434,104241,78401.6686486486,97752.1762162162,214092.112432432,297760.517297297,623773.327027027,2511403.03621622,4091687.34,19.92,194347,21053.517036,0.937751712053954,4.00641118143025,84349.0460614627,1.98370486074802,4.00641118143025,84349.0460614627
"54",1966,49214,23892,38847,44941.4421664459,51992,70674,109290,79072.5189189189,100727.606486486,205534.431891892,297671.683243243,649422.883783784,2386118.42972973,4358263.02,20.48,196599,22168.28394,0.921654373561044,3.99477790872516,88557.3709578587,1.97050576681265,3.99477790872516,88557.3709578587
